Year	Cause	Count
1992	Arson/incendiarism	11250
1992	Debris and open burning	12792
1992	Other causes	230
1992	Recreation and ceremony	2774
1992	Missing data/not specified/undetermined	6851
1992	Equipment and vehicle use	5637
1992	Power generation/transmission/distribution	192
1992	Misuse of fire by a minor	2750
1992	Fireworks	278
1992	Railroad operations and maintenance	2000
1992	Firearms and explosives use	1
1992	Smoking	2644
1993	Arson/incendiarism	11036
1993	Debris and open burning	12508
1993	Other causes	122
1993	Recreation and ceremony	3012
1993	Missing data/not specified/undetermined	6221
1993	Equipment and vehicle use	5516
1993	Power generation/transmission/distribution	166
1993	Misuse of fire by a minor	2288
1993	Fireworks	278
1993	Railroad operations and maintenance	1840
1993	Firearms and explosives use	1
1993	Smoking	2429
1994	Arson/incendiarism	10235
1994	Debris and open burning	14964
1994	Other causes	193
1994	Recreation and ceremony	4036
1994	Missing data/not specified/undetermined	6442
1994	Equipment and vehicle use	5412
1994	Power generation/transmission/distribution	210
1994	Misuse of fire by a minor	2979
1994	Fireworks	511
1994	Railroad operations and maintenance	1970
1994	Firearms and explosives use	0
1994	Smoking	2665
1995	Arson/incendiarism	12889
1995	Debris and open burning	16856
1995	Other causes	295
1995	Recreation and ceremony	4252
1995	Missing data/not specified/undetermined	6527
1995	Equipment and vehicle use	5585
1995	Power generation/transmission/distribution	202
1995	Misuse of fire by a minor	3034
1995	Fireworks	277
1995	Railroad operations and maintenance	2168
1995	Firearms and explosives use	3
1995	Smoking	2918
1996	Arson/incendiarism	10449
1996	Debris and open burning	17039
1996	Other causes	253
1996	Recreation and ceremony	4392
1996	Missing data/not specified/undetermined	5946
1996	Equipment and vehicle use	6174
1996	Power generation/transmission/distribution	361
1996	Misuse of fire by a minor	2766
1996	Fireworks	453
1996	Railroad operations and maintenance	2914
1996	Firearms and explosives use	7
1996	Smoking	2510
1997	Arson/incendiarism	11335
1997	Debris and open burning	14976
1997	Other causes	280
1997	Recreation and ceremony	2713
1997	Missing data/not specified/undetermined	8424
1997	Equipment and vehicle use	5830
1997	Power generation/transmission/distribution	331
1997	Misuse of fire by a minor	2648
1997	Fireworks	388
1997	Railroad operations and maintenance	2192
1997	Firearms and explosives use	5
1997	Smoking	2001
1998	Arson/incendiarism	14199
1998	Debris and open burning	15439
1998	Other causes	258
1998	Recreation and ceremony	3038
1998	Missing data/not specified/undetermined	8208
1998	Equipment and vehicle use	6221
1998	Power generation/transmission/distribution	553
1998	Misuse of fire by a minor	3059
1998	Fireworks	446
1998	Railroad operations and maintenance	1900
1998	Firearms and explosives use	3
1998	Smoking	2454
1999	Arson/incendiarism	19587
1999	Debris and open burning	23081
1999	Other causes	475
1999	Recreation and ceremony	3737
1999	Missing data/not specified/undetermined	10475
1999	Equipment and vehicle use	7911
1999	Power generation/transmission/distribution	612
1999	Misuse of fire by a minor	3402
1999	Fireworks	489
1999	Railroad operations and maintenance	2582
1999	Firearms and explosives use	42
1999	Smoking	3308
2000	Arson/incendiarism	18040
2000	Debris and open burning	22371
2000	Other causes	322
2000	Recreation and ceremony	3048
2000	Missing data/not specified/undetermined	17396
2000	Equipment and vehicle use	6823
2000	Power generation/transmission/distribution	520
2000	Misuse of fire by a minor	3438
2000	Fireworks	457
2000	Railroad operations and maintenance	3163
2000	Firearms and explosives use	22
2000	Smoking	3104
2001	Arson/incendiarism	17208
2001	Debris and open burning	22071
2001	Other causes	305
2001	Recreation and ceremony	3483
2001	Missing data/not specified/undetermined	10753
2001	Equipment and vehicle use	6974
2001	Power generation/transmission/distribution	551
2001	Misuse of fire by a minor	3543
2001	Fireworks	585
2001	Railroad operations and maintenance	2374
2001	Firearms and explosives use	50
2001	Smoking	3487
2002	Arson/incendiarism	13125
2002	Debris and open burning	19821
2002	Other causes	326
2002	Recreation and ceremony	3480
2002	Missing data/not specified/undetermined	10643
2002	Equipment and vehicle use	5731
2002	Power generation/transmission/distribution	574
2002	Misuse of fire by a minor	2899
2002	Fireworks	531
2002	Railroad operations and maintenance	1947
2002	Firearms and explosives use	26
2002	Smoking	2609
2003	Arson/incendiarism	9931
2003	Debris and open burning	12796
2003	Other causes	259
2003	Recreation and ceremony	2818
2003	Missing data/not specified/undetermined	10177
2003	Equipment and vehicle use	5773
2003	Power generation/transmission/distribution	478
2003	Misuse of fire by a minor	2181
2003	Fireworks	686
2003	Railroad operations and maintenance	619
2003	Firearms and explosives use	30
2003	Smoking	1554
2004	Arson/incendiarism	11379
2004	Debris and open burning	17290
2004	Other causes	293
2004	Recreation and ceremony	2506
2004	Missing data/not specified/undetermined	9814
2004	Equipment and vehicle use	5721
2004	Power generation/transmission/distribution	475
2004	Misuse of fire by a minor	2039
2004	Fireworks	564
2004	Railroad operations and maintenance	762
2004	Firearms and explosives use	38
2004	Smoking	1648
2005	Arson/incendiarism	15371
2005	Debris and open burning	19984
2005	Other causes	321
2005	Recreation and ceremony	3882
2005	Missing data/not specified/undetermined	16048
2005	Equipment and vehicle use	7815
2005	Power generation/transmission/distribution	652
2005	Misuse of fire by a minor	2726
2005	Fireworks	719
2005	Railroad operations and maintenance	869
2005	Firearms and explosives use	50
2005	Smoking	2308
2006	Arson/incendiarism	19825
2006	Debris and open burning	27147
2006	Other causes	344
2006	Recreation and ceremony	3019
2006	Missing data/not specified/undetermined	21507
2006	Equipment and vehicle use	10212
2006	Power generation/transmission/distribution	820
2006	Misuse of fire by a minor	3434
2006	Fireworks	1215
2006	Railroad operations and maintenance	1040
2006	Firearms and explosives use	91
2006	Smoking	3090
2007	Arson/incendiarism	13791
2007	Debris and open burning	20139
2007	Other causes	318
