Year	Count	Cause	Size	
1992	2422	Arson/incendiarism	A	
1992	6340	Arson/incendiarism	B	
1992	2236	Arson/incendiarism	C	
1992	183	Arson/incendiarism	D	
1992	47	Arson/incendiarism	E	
1992	16	Arson/incendiarism	F	
1992	6	Arson/incendiarism	G	
1992	2984	Debris and open burning	A	
1992	7982	Debris and open burning	B	
1992	1653	Debris and open burning	C	
1992	119	Debris and open burning	D	
1992	38	Debris and open burning	E	
1992	13	Debris and open burning	F	
1992	3	Debris and open burning	G	
1992	142	Other causes	A	
1992	77	Other causes	B	
1992	8	Other causes	C	
1992	3	Other causes	D	
1992	0	Other causes	E	
1992	0	Other causes	F	
1992	0	Other causes	G	
1992	1909	Recreation and ceremony	A	
1992	709	Recreation and ceremony	B	
1992	126	Recreation and ceremony	C	
1992	17	Recreation and ceremony	D	
1992	7	Recreation and ceremony	E	
1992	5	Recreation and ceremony	F	
1992	1	Recreation and ceremony	G	
1992	2721	Missing data/not specified/undetermined	A	
1992	3298	Missing data/not specified/undetermined	B	
1992	635	Missing data/not specified/undetermined	C	
1992	103	Missing data/not specified/undetermined	D	
1992	52	Missing data/not specified/undetermined	E	
1992	36	Missing data/not specified/undetermined	F	
1992	6	Missing data/not specified/undetermined	G	
1992	2145	Equipment and vehicle use	A	
1992	2724	Equipment and vehicle use	B	
1992	623	Equipment and vehicle use	C	
1992	82	Equipment and vehicle use	D	
1992	42	Equipment and vehicle use	E	
1992	15	Equipment and vehicle use	F	
1992	6	Equipment and vehicle use	G	
1992	98	Power generation/transmission/distribution	A	
1992	68	Power generation/transmission/distribution	B	
1992	21	Power generation/transmission/distribution	C	
1992	1	Power generation/transmission/distribution	D	
1992	4	Power generation/transmission/distribution	E	
1992	0	Power generation/transmission/distribution	F	
1992	0	Power generation/transmission/distribution	G	
1992	1262	Misuse of fire by a minor	A	
1992	1333	Misuse of fire by a minor	B	
1992	126	Misuse of fire by a minor	C	
1992	17	Misuse of fire by a minor	D	
1992	7	Misuse of fire by a minor	E	
1992	4	Misuse of fire by a minor	F	
1992	1	Misuse of fire by a minor	G	
1992	130	Fireworks	A	
1992	116	Fireworks	B	
1992	24	Fireworks	C	
1992	5	Fireworks	D	
1992	2	Fireworks	E	
1992	1	Fireworks	F	
1992	0	Fireworks	G	
1992	413	Railroad operations and maintenance	A	
1992	1146	Railroad operations and maintenance	B	
1992	365	Railroad operations and maintenance	C	
1992	50	Railroad operations and maintenance	D	
1992	22	Railroad operations and maintenance	E	
1992	4	Railroad operations and maintenance	F	
1992	0	Railroad operations and maintenance	G	
1992	1	Firearms and explosives use	A	
1992	0	Firearms and explosives use	B	
1992	0	Firearms and explosives use	C	
1992	0	Firearms and explosives use	D	
1992	0	Firearms and explosives use	E	
1992	0	Firearms and explosives use	F	
1992	0	Firearms and explosives use	G	
1992	1086	Smoking	A	
1992	1342	Smoking	B	
1992	173	Smoking	C	
1992	30	Smoking	D	
1992	7	Smoking	E	
1992	5	Smoking	F	
1992	1	Smoking	G	
1993	2363	Arson/incendiarism	A	
1993	6352	Arson/incendiarism	B	
1993	2082	Arson/incendiarism	C	
1993	163	Arson/incendiarism	D	
1993	63	Arson/incendiarism	E	
1993	12	Arson/incendiarism	F	
1993	1	Arson/incendiarism	G	
1993	2978	Debris and open burning	A	
1993	7903	Debris and open burning	B	
1993	1476	Debris and open burning	C	
1993	101	Debris and open burning	D	
1993	38	Debris and open burning	E	
1993	12	Debris and open burning	F	
1993	0	Debris and open burning	G	
1993	80	Other causes	A	
1993	33	Other causes	B	
1993	9	Other causes	C	
1993	0	Other causes	D	
1993	0	Other causes	E	
1993	0	Other causes	F	
1993	0	Other causes	G	
1993	2043	Recreation and ceremony	A	
1993	817	Recreation and ceremony	B	
1993	123	Recreation and ceremony	C	
1993	19	Recreation and ceremony	D	
1993	4	Recreation and ceremony	E	
1993	4	Recreation and ceremony	F	
1993	2	Recreation and ceremony	G	
1993	2445	Missing data/not specified/undetermined	A	
1993	2983	Missing data/not specified/undetermined	B	
1993	611	Missing data/not specified/undetermined	C	
1993	107	Missing data/not specified/undetermined	D	
1993	51	Missing data/not specified/undetermined	E	
1993	17	Missing data/not specified/undetermined	F	
1993	7	Missing data/not specified/undetermined	G	
1993	2112	Equipment and vehicle use	A	
1993	2726	Equipment and vehicle use	B	
1993	562	Equipment and vehicle use	C	
1993	68	Equipment and vehicle use	D	
1993	32	Equipment and vehicle use	E	
1993	10	Equipment and vehicle use	F	
1993	6	Equipment and vehicle use	G	
1993	84	Power generation/transmission/distribution	A	
1993	59	Power generation/transmission/distribution	B	
1993	14	Power generation/transmission/distribution	C	
1993	3	Power generation/transmission/distribution	D	
1993	4	Power generation/transmission/distribution	E	
1993	0	Power generation/transmission/distribution	F	
1993	2	Power generation/transmission/distribution	G	
1993	1027	Misuse of fire by a minor	A	
1993	1144	Misuse of fire by a minor	B	
1993	106	Misuse of fire by a minor	C	
1993	9	Misuse of fire by a minor	D	
1993	1	Misuse of fire by a minor	E	
1993	0	Misuse of fire by a minor	F	
1993	1	Misuse of fire by a minor	G	
1993	121	Fireworks	A	
1993	119	Fireworks	B	
1993	28	Fireworks	C	
1993	4	Fireworks	D	
1993	5	Fireworks	E	
1993	1	Fireworks	F	
1993	0	Fireworks	G	
1993	421	Railroad operations and maintenance	A	
1993	1059	Railroad operations and maintenance	B	
1993	302	Railroad operations and maintenance	C	
1993	37	Railroad operations and maintenance	D	
1993	16	Railroad operations and maintenance	E	
1993	4	Railroad operations and maintenance	F	
1993	1	Railroad operations and maintenance	G	
1993	0	Firearms and explosives use	A	
1993	1	Firearms and explosives use	B	
1993	0	Firearms and explosives use	C	
1993	0	Firearms and explosives use	D	
1993	0	Firearms and explosives use	E	
1993	0	Firearms and explosives use	F	
1993	0	Firearms and explosives use	G	
1993	1124	Smoking	A	
1993	1159	Smoking	B	
1993	128	Smoking	C	
1993	9	Smoking	D	
1993	7	Smoking	E	
1993	1	Smoking	F	
1993	1	Smoking	G	
1994	2311	Arson/incendiarism	A	
1994	5553	Arson/incendiarism	B	
1994	2026	Arson/incendiarism	C	
1994	221	Arson/incendiarism	D	
1994	84	Arson/incendiarism	E	
1994	29	Arson/incendiarism	F	
1994	11	Arson/incendiarism	G	
1994	3385	Debris and open burning	A	
1994	9292	Debris and open burning	B	
1994	2061	Debris and open burning	C	
1994	160	Debris and open burning	D	
1994	44	Debris and open burning	E	
1994	18	Debris and open burning	F	
1994	4	Debris and open burning	G	
1994	109	Other causes	A	
1994	70	Other causes	B	
1994	8	Other causes	C	
1994	4	Other causes	D	
1994	0	Other causes	E	
1994	1	Other causes	F	
1994	1	Other causes	G	
1994	2112	Recreation and ceremony	A	
1994	1582	Recreation and ceremony	B	
1994	302	Recreation and ceremony	C	
1994	18	Recreation and ceremony	D	
1994	13	Recreation and ceremony	E	
1994	7	Recreation and ceremony	F	
1994	2	Recreation and ceremony	G	
1994	2585	Missing data/not specified/undetermined	A	
1994	3088	Missing data/not specified/undetermined	B	
1994	586	Missing data/not specified/undetermined	C	
1994	95	Missing data/not specified/undetermined	D	
1994	56	Missing data/not specified/undetermined	E	
1994	26	Missing data/not specified/undetermined	F	
1994	6	Missing data/not specified/undetermined	G	
1994	2033	Equipment and vehicle use	A	
1994	2663	Equipment and vehicle use	B	
1994	563	Equipment and vehicle use	C	
1994	87	Equipment and vehicle use	D	
1994	46	Equipment and vehicle use	E	
1994	17	Equipment and vehicle use	F	
1994	3	Equipment and vehicle use	G	
1994	102	Power generation/transmission/distribution	A	
1994	72	Power generation/transmission/distribution	B	
1994	14	Power generation/transmission/distribution	C	
1994	8	Power generation/transmission/distribution	D	
1994	10	Power generation/transmission/distribution	E	
1994	4	Power generation/transmission/distribution	F	
1994	0	Power generation/transmission/distribution	G	
1994	1390	Misuse of fire by a minor	A	
1994	1430	Misuse of fire by a minor	B	
1994	140	Misuse of fire by a minor	C	
1994	14	Misuse of fire by a minor	D	
1994	2	Misuse of fire by a minor	E	
1994	3	Misuse of fire by a minor	F	
1994	0	Misuse of fire by a minor	G	
1994	229	Fireworks	A	
1994	222	Fireworks	B	
1994	35	Fireworks	C	
1994	14	Fireworks	D	
1994	8	Fireworks	E	
1994	3	Fireworks	F	
1994	0	Fireworks	G	
1994	502	Railroad operations and maintenance	A	
1994	1122	Railroad operations and maintenance	B	
1994	292	Railroad operations and maintenance	C	
1994	37	Railroad operations and maintenance	D	
1994	9	Railroad operations and maintenance	E	
1994	7	Railroad operations and maintenance	F	
1994	1	Railroad operations and maintenance	G	
1994	0	Firearms and explosives use	A	
1994	0	Firearms and explosives use	B	
1994	0	Firearms and explosives use	C	
1994	0	Firearms and explosives use	D	
1994	0	Firearms and explosives use	E	
1994	0	Firearms and explosives use	F	
1994	0	Firearms and explosives use	G	
1994	1230	Smoking	A	
1994	1214	Smoking	B	
1994	187	Smoking	C	
1994	20	Smoking	D	
1994	7	Smoking	E	
1994	6	Smoking	F	
1994	1	Smoking	G	
1995	2696	Arson/incendiarism	A	
1995	7247	Arson/incendiarism	B	
1995	2581	Arson/incendiarism	C	
1995	256	Arson/incendiarism	D	
1995	74	Arson/incendiarism	E	
1995	28	Arson/incendiarism	F	
1995	7	Arson/incendiarism	G	
1995	3790	Debris and open burning	A	
1995	10497	Debris and open burning	B	
1995	2349	Debris and open burning	C	
1995	151	Debris and open burning	D	
1995	47	Debris and open burning	E	
1995	21	Debris and open burning	F	
1995	1	Debris and open burning	G	
1995	167	Other causes	A	
1995	107	Other causes	B	
1995	18	Other causes	C	
1995	2	Other causes	D	
1995	1	Other causes	E	
1995	0	Other causes	F	
1995	0	Other causes	G	
1995	2025	Recreation and ceremony	A	
1995	1871	Recreation and ceremony	B	
1995	304	Recreation and ceremony	C	
1995	30	Recreation and ceremony	D	
1995	15	Recreation and ceremony	E	
1995	4	Recreation and ceremony	F	
1995	3	Recreation and ceremony	G	
1995	2601	Missing data/not specified/undetermined	A	
1995	3221	Missing data/not specified/undetermined	B	
1995	552	Missing data/not specified/undetermined	C	
1995	86	Missing data/not specified/undetermined	D	
1995	39	Missing data/not specified/undetermined	E	
1995	21	Missing data/not specified/undetermined	F	
1995	7	Missing data/not specified/undetermined	G	
1995	2256	Equipment and vehicle use	A	
1995	2681	Equipment and vehicle use	B	
1995	503	Equipment and vehicle use	C	
1995	78	Equipment and vehicle use	D	
1995	49	Equipment and vehicle use	E	
1995	14	Equipment and vehicle use	F	
1995	4	Equipment and vehicle use	G	
1995	94	Power generation/transmission/distribution	A	
1995	65	Power generation/transmission/distribution	B	
1995	19	Power generation/transmission/distribution	C	
1995	9	Power generation/transmission/distribution	D	
1995	8	Power generation/transmission/distribution	E	
1995	5	Power generation/transmission/distribution	F	
1995	2	Power generation/transmission/distribution	G	
1995	1278	Misuse of fire by a minor	A	
1995	1618	Misuse of fire by a minor	B	
1995	126	Misuse of fire by a minor	C	
1995	10	Misuse of fire by a minor	D	
1995	1	Misuse of fire by a minor	E	
1995	1	Misuse of fire by a minor	F	
1995	0	Misuse of fire by a minor	G	
1995	138	Fireworks	A	
1995	112	Fireworks	B	
1995	19	Fireworks	C	
1995	5	Fireworks	D	
1995	2	Fireworks	E	
1995	1	Fireworks	F	
1995	0	Fireworks	G	
1995	624	Railroad operations and maintenance	A	
1995	1222	Railroad operations and maintenance	B	
1995	286	Railroad operations and maintenance	C	
1995	27	Railroad operations and maintenance	D	
1995	6	Railroad operations and maintenance	E	
1995	3	Railroad operations and maintenance	F	
1995	0	Railroad operations and maintenance	G	
1995	0	Firearms and explosives use	A	
1995	2	Firearms and explosives use	B	
1995	1	Firearms and explosives use	C	
1995	0	Firearms and explosives use	D	
1995	0	Firearms and explosives use	E	
